title,isbn,doi
"Maritime Law","9781315091457","10.4324/9781315091457"
"Maritime Law","9781315162904","10.4324/9781315162904"
"Maritime Law","9781315752013","10.4324/9781315752013"
"Maritime Law","9781003046943","10.4324/9781003046943"
"Maritime Law in China","9781315618296","10.4324/9781315618296"
"Preventing the Maritime Facilitation of Terrorism","9781003316176","10.4324/9781003316176"
"Power and the Maritime Domain","9781003298984","10.4324/9781003298984"
"Modern Maritime Law","9780203944646","10.4324/9780203944646"
"China As A Maritime Power","9780429044922","10.4324/9780429044922"
"Maritime Law and Policy in China","9781843144809","10.4324/9781843144809"
"Maritime Power in the Black Sea","9781315593920","10.4324/9781315593920"
"Saudi Maritime Policy","9780203804551","10.4324/9780203804551"
"Maritime Order and the Law in East Asia","9780203710555","10.4324/9780203710555"
"Maritime Slavery","9780203718537","10.4324/9780203718537"
"Modern Maritime Piracy","9781315163550","10.4324/9781315163550"
"Maritime Safety in Europe","9781003030775","10.4324/9781003030775"
"Maritime Piracy","9780203144817","10.4324/9780203144817"
"Maritime Cabotage Law","9780203733240","10.4324/9780203733240"
"Maritime Networks","9781315692852","10.4324/9781315692852"
"Modern Maritime Law (Volume 1)","9781315887050","10.4324/9781315887050"
"Modern Maritime Law (Volume 2)","9781315863146","10.4324/9781315863146"
"India’s Maritime Strategy","9780429397653","10.4324/9780429397653"
"Maritime Law and Practice in China","9781315636917","10.4324/9781315636917"
"Maritime Security","9780203867471","10.4324/9780203867471"
"Maritime Crime and Policing","9781003182382","10.4324/9781003182382"
"Maritime Issues in the South China Sea","9781315868677","10.4324/9781315868677"
"The South China Sea Maritime Dispute","9781315858029","10.4324/9781315858029"
"The 21st Century Maritime Silk Road","9780429058585","10.4324/9780429058585"
"Maritime Fraud and Piracy","9780203714027","10.4324/9780203714027"
"Maritime Security","9780429257490","10.1201/b18926"
"America's Maritime Legacy","9780429050770","10.4324/9780429050770"
"The Politics of Maritime Power","9780203832028","10.4324/9780203832028"
"Human Factors in the Maritime Domain","9780429355417","10.1201/9780429355417"
"Maritime Security in the South China Sea","9781315593944","10.4324/9781315593944"
"Maritime Private Security","9780203126608","10.4324/9780203126608"
"Maritime Southeast Asia to 500","9781315702551","10.4324/9781315702551"
"Maritime Taiwan","9781315702544","10.4324/9781315702544"
"Indian Ocean and Maritime Security","9781315439761","10.4324/9781315439761"
"Maritime Boundaries","9780203036396","10.4324/9780203036396"
"Managing Maritime Safety","9780203712979","10.4324/9780203712979"
"Bangladesh’s Maritime Policy","9780429467073","10.4324/9780429467073"
"Maritime Strategy and Sea Denial","9781351047722","10.4324/9781351047722"
"Chinese Maritime Power in the 21st Century","9780429282645","10.4324/9780429282645"
"Theorist of Maritime Strategy","9781315551210","10.4324/9781315551210"
"Taiwan's Maritime Security","9780203986745","10.4324/9780203986745"
"Maritime Strategy for Medium Powers","9781003149859","10.4324/9781003149859"
"Europe, Small Navies and Maritime Security","9780429286636","10.4324/9780429286636"
"Maritime Strategy and Sea Control","9781315694528","10.4324/9781315694528"
"Maritime Cargo Operations","9781003354338","10.1201/9781003354338"
"Maritime Security and Indonesia","9781315541815","10.4324/9781315541815"
"Maritime Business and Economics","9781315270869","10.4324/9781315270869"
"Maritime Technology and Engineering III","9781315374956","10.1201/9781315374956"
"The Common EU Maritime Transport Policy","9781315240596","10.4324/9781315240596"
"Maritime Heritage in Crisis","9781315400020","10.4324/9781315400020"
"Maritime Safety, Security and Piracy","9780203796252","10.4324/9780203796252"
"Maritime Letters of Indemnity","9781315851471","10.4324/9781315851471"
"Maritime Diplomacy in the 21st Century","9780203555590","10.4324/9780203555590"
"Maritime Archaeology","9781315424897","10.4324/9781315424897"
"Maritime Gray Zone Operations","9781003310723","10.4324/9781003310723"
"Economics of Maritime Business","9781315658124","10.4324/9781315658124"
"Progress in Maritime Technology and Engineering","9780429505294","10.1201/9780429505294"
"Modern Maritime Law and Risk Management","9781315793207","10.4324/9781315793207"
"China's Maritime Security Strategy","9781003158523","10.4324/9781003158523"
"Commercial and Maritime Law in China and Europe","9781003160298","10.4324/9781003160298"
"Maritime Security in Southeast Asia","9780203964415","10.4324/9780203964415"
"Sea Level Change and Maritime Boundaries","9781003320456","10.4324/9781003320456"
"Maritime Mobilities","9781315311371","10.4324/9781315311371"
"Lloyd's MIU Handbook of Maritime Security","9780429248986","10.1201/9781420054811"
"Trends in Maritime Technology and Engineering","9781003320289","10.1201/9781003320289"
"Law of the Sea and Maritime Delimitation","9781003290452","10.4324/9781003290452"
"Codification of Maritime Law","9780429351792","10.4324/9780429351792"
"Maritime Clusters and the Ocean Economy","9781315646152","10.4324/9781315646152"
"The Maritime Blockade of Germany in the Great War","9781003122517","10.4324/9781003122517"
"Trends in Maritime Technology and Engineering","9781003320272","10.1201/9781003320272"
"Enforcement of Maritime Claims","9780203722657","10.4324/9780203722657"
"Maritime Technology and Engineering 5 Volume 2","9781003216599","10.1201/9781003216599"
"Maritime Economics 3e","9780429239540","10.4324/9780203891742"
"London Maritime Arbitration","9781315619316","10.4324/9781315619316"
"Maritime Terrorism and Piracy in the Indian Ocean Region","9781315723891","10.4324/9781315723891"
"Routledge Handbook of Maritime Security","9781003001324","10.4324/9781003001324"
"Maritime Technology and Engineering 5 Volume 1","9781003216582","10.1201/9781003216582"
"China's Maritime Boundaries in the South China Sea","9781003090151","10.4324/9781003090151"
"Assessing Maritime Disputes in East Asia","9781315568126","10.4324/9781315568126"
"Maritime Economics","9780203442661","10.4324/9780203442661"
"Maritime Economics","9781315041339","10.4324/9781315041339"
"Strategic Management in the Maritime Sector","9780429437618","10.4324/9780429437618"
"Maritime Challenges and Priorities in Asia","9780203116272","10.4324/9780203116272"
"The Culture of Ships and Maritime Narratives","9781315165684","10.4324/9781315165684"
"Maritime Operations Law in Practice","9781003307013","10.4324/9781003307013"
"Limitation of Liability for Maritime Claims","9781003122746","10.4324/9781003122746"
"Science, Utility and Maritime Power","9781315607825","10.4324/9781315607825"
"Maritime Strategy and Continental Wars","9780203815182","10.4324/9780203815182"
"The Royal Navy and Maritime Power in the Twentieth Century","9780203002131","10.4324/9780203002131"
"Maritime Cross-Border Insolvency","9781315182254","10.4324/9781315182254"
"Reconstructing a Maritime Past","9781003119524","10.4324/9781003119524"
"Maritime Quarantine","9781315249704","10.4324/9781315249704"
"Lloyd's Maritime Atlas of World Ports and Shipping Places 2016","9781315091716","10.4324/9781315091716"
"Radar Imaging for Maritime Observation","9781315374253","10.1201/9781315374253"
"The Handbook of Maritime Economics and Business","9780203721636","10.4324/9780203721636"
"The Management of Maritime Regulations","9781315751276","10.4324/9781315751276"
"Peaceful Management of Maritime Disputes","9781003377214","10.4324/9781003377214"
"Maritime Security in the Indian Ocean and Western Pacific","9781315222745","10.4324/9781315222745"
"Assessing Maritime Power in the Asia-Pacific","9781315568133","10.4324/9781315568133"
"Power, Politics and Maritime Governance in the Indian Ocean","9781315738024","10.4324/9781315738024"
"Lloyd's Maritime Atlas of World Ports and Shipping Places 2022-2023","9781003199885","10.4324/9781003199885"
"Maritime Claims and Boundary Delimitation","9780429329630","10.4324/9780429329630"
"Maritime Societies of the Viking and Medieval World","9781315630755","10.4324/9781315630755"
"Maritime Disputes and International Law","9781351240536","10.4324/9781351240536"
"The Routledge Handbook of Maritime Management","9781315617138","10.4324/9781315617138"
"Maritime Transport and the Climate Change Challenge","9780203134467","10.4324/9780203134467"
"Core Principles of Maritime Navigation","9781003291534","10.1201/9781003291534"
"Maritime and Territorial Disputes in the South China Sea","9781003035855","10.4324/9781003035855"
"Maritime Transportation","9781003055464","10.4324/9781003055464"
"Maritime Security between China and Southeast Asia","9781315249698","10.4324/9781315249698"
"Chinese Grand Strategy and Maritime Power","9780203815144","10.4324/9780203815144"
"Maritime Logistics Value in Knowledge Management","9781315773780","10.4324/9781315773780"
"Contemporary Piracy and Maritime Terrorism","9780203759318","10.4324/9780203759318"
"Building Industries at Sea - ‘Blue Growth’ and the New Maritime Economy","9781003337430","10.1201/9781003337430"
"Serving the Rule of International Maritime Law","9780203863220","10.4324/9780203863220"
"Air Power in the Maritime Environment","9781315566306","10.4324/9781315566306"
